"","score","pvalue_low","pvalue_high"
"IRF2",0.45681584212127,0.772,0.228
"PAX6",0.740647776053652,0.839,0.161
"PBX1",1.61988710458083,0.987,0.013
"RORA",0.544885762506792,0.789,0.211
"RREB1",1.04677749213873,0.923,0.077
"SOX9",-0.0541264044678196,0.449,0.551
"REL",-0.0312990209615328,0.465,0.535
"RELA",-0.580171118408637,0.146,0.854
"ZNF354C",-0.748942516774796,0.17,0.83
"CTCF",-0.672944351342015,0.187,0.813
"REST",0.764919344480862,0.862,0.138
"NFATC2",-0.023772196571716,0.466,0.534
"INSM1",0.391194288853162,0.716,0.284
"NR4A2",0.467098659571834,0.786,0.214
"PLAG1",0.978364341591644,0.914,0.086
"FOS",0.334167760654763,0.719,0.281
"FOSL2",0.141024424646403,0.581,0.419
"JUN",0.0736272841560721,0.565,0.435
"NR2C2",0.937603897627342,0.883,0.117
"NRF1",-0.614424270784343,0.267,0.733
"TCF7L2",1.30088391183154,0.952,0.048
"ZBTB33",-0.349394014898659,0.295,0.705
"ELK4",0.758840983838757,0.865,0.135
"ESR2",0.0591099103889218,0.541,0.459
"IRF1",0.14645492367882,0.606,0.394
"STAT1",-0.315907337260734,0.299,0.701
"STAT3",0.252090907109904,0.701,0.299
"YY1",-0.650452629753974,0.176,0.824
"FOXP2",0.91895930219133,0.903,0.097
"SREBF1",-0.228041762053004,0.317,0.683
"SREBF2",0.0144113073377985,0.524,0.476
"THAP1",0.210348683299273,0.671,0.329
"KLF5",0.283185866033695,0.666,0.334
"NFATC3",0.115068407707357,0.596,0.404
"POU6F1",0.1536894130911,0.652,0.348
"BHLHE41",-0.0317867625867013,0.485,0.515
"CENPB",0.173462674530226,0.63,0.37
"CREB3",10,10,10
"DBP",-0.0011482243158264,0.498,0.502
"ELF4",-0.713861001186286,0.217,0.783
"ETV6",0.905668156557096,0.87,0.13
"FOXO3",0.464470706744435,0.767,0.233
"GRHL1",0.133021765241954,0.61,0.39
"HINFP",0.036974618524662,0.538,0.462
"HNF1A",0.157971037051271,0.637,0.363
"HNF1B",-0.651508266729434,0.243,0.757
"HSF1",-1.22758747426127,0.046,0.954
"KLF13",0.317056660147578,0.725,0.275
"MLX",-0.335324897915667,0.245,0.755
"MLXIPL",0.0636014990410314,0.523,0.477
"NFIA",1.6271902919935,0.994,0.006
"NFIX",0.0259482292254234,0.545,0.455
"SP4",-0.455332752409494,0.262,0.738
"SRF",10,10,10
"TFAP4",-0.553950303652532,0.189,0.811
"TFCP2",1.25612384511961,0.941,0.059
"TFEB",1.12510320522495,0.939,0.061
"ZBTB7B",0.0732693013013559,0.536,0.464
"ZBTB7C",0.801065154893117,0.84,0.16
"ZBTB18",0.903965869896953,0.866,0.134
"MNX1",0.386945681244324,0.716,0.284
"PDX1",0.235793385859802,0.684,0.316
"RHOXF1",-1.18432892038289,0.059,0.941
"VAX2",-0.111138948884599,0.36,0.64
"ESR1",1.3120837698326,0.948,0.052
"ESRRB",-0.180884954927557,0.337,0.663
"NR3C1",1.0856720955608,0.91,0.09
"NR3C2",1.02696224136236,0.918,0.082
"RARA",-0.0438390779699204,0.461,0.539
"EGR3",0.719031517763142,0.838,0.162
"EGR4",0.55557922423747,0.798,0.202
"GLIS2",-0.262278200123172,0.284,0.716
"GLIS3",0.610042871154284,0.809,0.191
"HIC2",-1.49162632904999,0.06,0.94
"KLF16",-0.0025560833374667,0.477,0.523
"ZNF143",-1.36334706197809,0.012,0.988
"CUX1",1.55501310033616,0.99,0.01
"ONECUT2",0.890483773585835,0.891,0.109
"ELK3",0.0310736751087969,0.502,0.498
"ERF",-0.0553391265329332,0.426,0.574
"ETS1",0.253281809852261,0.69,0.31
"ETV3",-0.0707692969710445,0.43,0.57
"HSF2",-0.120579820948141,0.397,0.603
"HSF4",-0.106211486632583,0.389,0.611
"IRF7",0.161155304488573,0.646,0.354
"MEF2D",-1.39127961758067,0.032,0.968
