,score,pvalue_low,pvalue_high
ATF3,-0.272097682,0.025,0.975
BCL6,-0.42878409,0.006,0.994
E2F3,0.174102603,0.664,0.336
E2F4,0.366578714,0.976,0.024
HES1,-0.061716348,0.335,0.665
NRL,0.080212593,0.597,0.403
SOX4,-0.087996323,0.328,0.672
SP1,0.762770416,0.993,0.007
SP2,0.542422523,0.961,0.039
SP3,0.076389239,0.641,0.359
TCFL5,0.028534988,0.537,0.463
ZNF740,10,10,10
ATF2,-0.042567281,0.375,0.625
BACH1,-0.020380942,0.449,0.551
NFYC,-0.022654179,0.455,0.545
PRDM4,1.087743067,0.998,0.002
ZBTB14,10,10,10
ZKSCAN5,0.708853544,0.947,0.053
ZNF148,-0.054987408,0.339,0.661
ZNF16,-0.13779026,0.279,0.721
ZNF341,-0.216821547,0.164,0.836
ZNF449,1.230441702,0.999,0.001
ZNF652,0.051740299,0.591,0.409
ATF4,0.247780723,0.96,0.04
BATF3,-0.679220584,0.109,0.891
CEBPD,-0.449908335,0.009,0.991
CREB1,-0.126813959,0.241,0.759
E2F6,0.279524816,0.898,0.102
EGR1,-0.073494401,0.261,0.739
EHF,0.001582752,0.508,0.492
ELF1,-0.162671423,0.269,0.731
ELF3,0.506690201,0.959,0.041
ESRRA,0.087331022,0.77,0.23
ETV1,-0.195673144,0.145,0.855
ETV5,0.048923818,0.658,0.342
FOSL1,0.267600751,0.845,0.155
FOXA2,-0.036395949,0.365,0.635
FOXK2,0.576005544,0.984,0.016
FOXP1,-0.051611956,0.328,0.672
GABPA,0.168578552,0.8,0.2
HLF,0.639073644,0.997,0.003
HNF4A,10,10,10
HNF4G,0.472979586,0.893,0.107
JUNB,-0.159983928,0.056,0.944
JUND,-0.043536413,0.296,0.704
KLF4,-0.143398557,0.208,0.792
KLF9,-0.113657506,0.134,0.866
MAFF,-0.022647305,0.462,0.538
MAFG,0.289256314,0.964,0.036
MAFK,0.571645342,0.989,0.011
MEF2A,-0.014692275,0.46,0.54
MITF,-0.095924498,0.282,0.718
MXI1,-0.080723659,0.318,0.682
MZF1,-0.144853848,0.107,0.893
NFE2L1,0.6237257,0.973,0.027
NFIL3,-0.287464856,0.075,0.925
NFYB,-0.133657568,0.337,0.663
NR4A1,-0.449823853,0.007,0.993
PBX2,-0.024277158,0.393,0.607
PKNOX1,0.730165355,0.946,0.054
RFX1,-0.299988629,0.109,0.891
RFX3,-0.328447296,0.02,0.98
SCRT1,-0.163485224,0.181,0.819
TCF3,0.030878062,0.55,0.45
TCF4,-0.355682198,0.029,0.971
TCF7,0.260597766,0.919,0.081
TEAD1,-0.006290474,0.46,0.54
TEAD4,-0.053780179,0.381,0.619
USF1,1.007401976,1,0
USF2,-0.036921593,0.463,0.537
YY2,1.101815256,0.994,0.006
ZNF263,0.394141059,0.941,0.059
CREM,-0.112605362,0.37,0.63
