"","score","pvalue_low","pvalue_high"
"GABPA",-0.128472179622234,0.372,0.627
"HLF",0.96195711170835,0.849,0.15
"HNF4A",10,10,10
"HNF4G",-1.37132521298611,0.039,0.96
"JUNB",0.0809475049586205,0.632,0.367
"JUND",1.05998719105375,0.911,0.089
"KLF4",-0.218936214504925,0.28,0.719
"KLF9",0.181836428906591,0.647,0.352
"MAFF",0.279495039314966,0.729,0.27
"MAFG",1.32013698472801,0.92,0.079
"MAFK",1.64668954969524,0.931,0.068
"MEF2A",-0.477600679625257,0.157,0.842
"MITF",-1.06180504417691,0.082,0.917
"MXI1",-0.416333934428978,0.188,0.811
"MZF1",-0.917701957563657,0.107,0.892
"NFE2L1",0.593143998424832,0.847,0.152
"NFIL3",-1.09188517989166,0.042,0.958
"NFYB",0.177091089145723,0.617,0.382
"NR4A1",-0.59926943350694,0.153,0.846
"PBX2",-0.120242363055086,0.381,0.618
"PKNOX1",0.060647037090219,0.497,0.503
"RFX1",0.0740602795488282,0.562,0.437
"RFX3",-0.771009655188971,0.058,0.941
"SCRT1",-0.0843483753620961,0.42,0.579
"TCF3",-0.0943664904046298,0.372,0.627
"TCF4",-0.94536734681661,0.025,0.974
"TCF7",1.1599313447958,0.873,0.126
"TEAD1",-1.01426411779482,0.006,0.993
"TEAD4",-0.141872815134399,0.404,0.596
"USF1",2.2632557308583,0.991,0.008
"USF2",1.4428718961132,0.943,0.056
"YY2",1.18618829681163,0.858,0.141
"ZNF263",0.120273550767409,0.581,0.418
"CREM",-0.426775462450992,0.211,0.788
