"","score","pvalue_low","pvalue_high"
"IRF2",-0.989018859944036,0.14,0.86
"PAX6",0.522910492503682,0.881,0.119
"PBX1",-0.599037712845068,0.098,0.902
"RORA",0.387066526411853,0.783,0.217
"RREB1",-0.0682592552160248,0.385,0.615
"SOX9",0.118281599457652,0.608,0.392
"REL",-0.292775683579608,0.282,0.718
"RELA",0.246815760564283,0.742,0.258
"ZNF354C",-1.99627603086141,0.01,0.99
"CTCF",10,10,10
"REST",0.402784370628143,0.815,0.185
"NFATC2",0.141610807901719,0.677,0.323
"INSM1",0.957172996193636,0.901,0.099
"NR4A2",0.250828484630245,0.773,0.227
"PLAG1",0.0883396489329072,0.614,0.386
"FOS",0.315799899211193,0.748,0.252
"FOSL2",0.00918677590993044,0.51,0.49
"JUN",0.5539570328693,0.883,0.117
"NR2C2",0.0441705404913504,0.532,0.468
"NRF1",-0.925968951327285,0.087,0.913
"TCF7L2",-0.00863322416434562,0.508,0.492
"ZBTB33",-0.793043484769346,0.187,0.813
"ELK4",-0.217651338683524,0.3,0.7
"ESR2",-0.935293319487086,0.06,0.94
"IRF1",-0.0845505431709287,0.429,0.571
"STAT1",-1.01157752404161,0.15,0.85
"STAT3",0.687995163055829,0.919,0.081
"YY1",-0.0970222817048372,0.427,0.573
"FOXP2",0.460432966491394,0.885,0.115
"SREBF1",0.709016746252026,0.938,0.062
"SREBF2",0.165881125606148,0.653,0.347
"THAP1",-0.115825385465566,0.408,0.592
"KLF5",-0.119164689676187,0.409,0.591
"NFATC3",0.208003811930639,0.701,0.299
"POU6F1",0.154899457484856,0.623,0.377
"BHLHE41",-0.329942874942137,0.304,0.696
"CENPB",1.43359235457668,0.988,0.012
"CREB3",10,10,10
"DBP",1.18836764398822,0.954,0.046
"ELF4",0.251366777488223,0.718,0.282
"ETV6",-0.779714215399917,0.169,0.831
"FOXO3",-0.0617196733388699,0.406,0.594
"GRHL1",-1.06112015121099,0.095,0.905
"HINFP",0.780425191411863,0.871,0.129
"HNF1A",1.01353761444051,0.957,0.043
"HNF1B",-0.010348242028865,0.502,0.498
"HSF1",0.282732021552126,0.753,0.247
"KLF13",-1.24907695318005,0.05,0.95
"MLX",0.24998760107297,0.675,0.325
"MLXIPL",0.486963564443641,0.86,0.14
"NFIA",-0.00635228487329439,0.48,0.52
"NFIX",0.901235946898034,0.911,0.089
"SP4",-1.36657262848466,0.017,0.983
"SRF",0.189440862296246,0.655,0.345
"TFAP4",10,10,10
"TFCP2",-0.0598835976214037,0.365,0.635
"TFEB",-0.474981768222416,0.217,0.783
"ZBTB7B",10,10,10
"ZBTB7C",0.753639356435347,0.929,0.071
"ZBTB18",0.283166491787379,0.796,0.204
"MNX1",0.367417280636392,0.772,0.228
"PDX1",-0.141873533783115,0.365,0.635
"RHOXF1",-0.232477719848568,0.323,0.677
"VAX2",10,10,10
"ESR1",-0.165424377499626,0.343,0.657
"ESRRB",-0.0925733179990014,0.414,0.586
"NR3C1",0.164217676155834,0.645,0.355
"NR3C2",0.131402961309521,0.633,0.367
"RARA",0.346645741692815,0.791,0.209
"EGR3",-0.0308056544830708,0.479,0.521
"EGR4",0.482967105478489,0.8,0.2
"GLIS2",1.0365853311853,0.975,0.025
"GLIS3",0.605873866276899,0.915,0.085
"HIC2",-0.144476795457317,0.328,0.672
"KLF16",0.840261782463216,0.949,0.051
"ZNF143",0.0494831482712737,0.588,0.412
"CUX1",0.394456383762573,0.789,0.211
"ONECUT2",-1.6164311851983,0.028,0.972
"ELK3",-1.37933409587552,0.042,0.958
"ERF",1.06023152115969,0.953,0.047
"ETS1",-1.18284584413849,0.057,0.943
"ETV3",-0.420443022741636,0.288,0.712
"HSF2",-0.596128409846773,0.191,0.809
"HSF4",0.616997450932158,0.905,0.095
"IRF7",0.598743684388655,0.853,0.147
"MEF2D",-0.143258511484968,0.373,0.627
"MEIS1",0.124121139972409,0.65,0.35
"MEIS2",0.579604556081013,0.879,0.121
"MEIS3",0.656789701045766,0.867,0.133
"NFKB1",-1.22327665160517,0.045,0.955
"NFKB2",1.25804077137616,0.962,0.038
"PKNOX2",0.53901655571044,0.745,0.255
"POU2F1",-0.322039143880419,0.332,0.668
"POU6F2",10,10,10
"PROX1",-1.24130280678048,0.067,0.933
"RFX2",0.015196634963606,0.492,0.508
"SMAD3",-1.07672105775723,0.066,0.934
"RUNX2",-0.384994356885546,0.269,0.731
"MGA",-0.313728551977097,0.156,0.844
"TBX19",0.158453689888052,0.614,0.386
"BHLHE40",0.155107609644003,0.649,0.351
"CLOCK",-0.146558292791113,0.278,0.722
"HEY1",10,10,10
"MAX",0.187854265591278,0.693,0.307
"MNT",10,10,10
"OLIG1",0.738319768012675,0.883,0.117
"ATF7",-0.237885655392965,0.284,0.716
"CEBPB",0.764048296246179,0.946,0.054
"CEBPG",-0.255069254375811,0.338,0.662
"CREB3L1",-0.0314262998864278,0.463,0.537
"TEF",0.462170844853246,0.841,0.159
"XBP1",1.03657202255884,0.928,0.072
"FOXO6",0.246841992150029,0.722,0.278
"RXRB",0.569603762904462,0.825,0.175
"RXRG",-0.932684121467892,0.112,0.888
"TP53",0.213569629492936,0.684,0.316
"GMEB2",-0.117731693689824,0.401,0.599
"MTF1",0.0277564615944632,0.55,0.45
"ELK1",10,10,10
"HMBOX1",-0.242038563999139,0.206,0.794
"FOXK1",10,10,10
"HIF1A",-0.248983779300554,0.322,0.678
"NEUROD1",0.352520557020561,0.767,0.233
"NFIC",0.76485274970778,0.934,0.066
"NFYA",-1.15148708968672,0.019,0.981
"NR2F2",-0.765190676476915,0.137,0.863
"PAX5",10,10,10
"PBX3",0.270706259770246,0.831,0.169
"RBPJ",-1.40691038825097,0.024,0.976
"RELB",0.42199473565793,0.788,0.212
"SIX2",0.946047589051901,0.967,0.033
"SOX13",0.264278263943435,0.78,0.22
"TFDP1",-0.43424287619496,0.216,0.784
"ZBTB7A",0.422910215219708,0.838,0.162
"ZEB1",-1.01617015316698,0.057,0.943
"ZNF24",0.0444996844646571,0.572,0.428
"ZNF384",0.263122299867457,0.681,0.319
"ZNF282",-0.30515511934393,0.316,0.684
"RORB",0.75787576154398,0.958,0.042
"RORC",0.152329885546615,0.692,0.308
"TFE3",0.688415582545982,0.905,0.095
"VDR",-0.370769673243438,0.252,0.748
"IRF3",0.988173876206771,0.984,0.016
"ARNT2",-1.30900198659389,0.066,0.934
"ATF6",-1.72962115901937,0.006,0.994
"BACH2",-1.20446710194103,0.053,0.947
"CREB3L4",-0.153429314984228,0.362,0.638
"ELF2",0.300113885052441,0.787,0.213
"ETS2",-0.640345451618769,0.204,0.796
"FOXN3",-1.01634414933495,0.083,0.917
"HES6",0.962068950346896,0.929,0.071
"IRF6",-0.16851699740253,0.359,0.641
"KLF10",0.1357373308955,0.637,0.363
"KLF11",-1.22292531389006,0.074,0.926
"KLF2",0.488886164168845,0.866,0.134
"KLF3",-0.258024570291213,0.303,0.697
"KLF6",-0.163580793546576,0.361,0.639
"MAF",0.103778786826115,0.567,0.433
"MAFA",-0.214191209439547,0.296,0.704
"MAZ",0.690933424684408,0.89,0.11
"MSANTD3",-0.125048426822424,0.393,0.607
"NR1D1",0.00421415999994781,0.524,0.476
"NR1D2",-0.859179825435756,0.139,0.861
"NR2C1",-0.110423657306983,0.377,0.623
