"","score","pvalue_low","pvalue_high"
"NRL",-0.0635146173019977,0.518,0.482
"SOX4",-0.72011978548187,0.079,0.921
"SP1",-0.100957925799848,0.438,0.562
"SP2",0.00221833380832209,0.515,0.485
"SP3",1.22106907547853,0.988,0.012
"TCFL5",0.542100810399156,0.857,0.143
"ZNF740",-0.0698566845060519,0.458,0.542
"ATF2",1.43749768313817,0.996,0.004
"BACH1",1.21554224331518,0.961,0.039
"NFYC",-0.0819734136383108,0.417,0.583
"PRDM4",0.454106925435174,0.747,0.253
"ZBTB14",-0.0266044883996392,0.49,0.51
"ZKSCAN5",0.0857238522221486,0.57,0.43
"ZNF148",0.241235749334143,0.732,0.268
"ZNF16",-0.0355749884287749,0.499,0.501
"ZNF341",0.487200626091715,0.81,0.19
"ZNF449",1.19911867592379,0.93,0.07
"ZNF652",0.278237687151209,0.729,0.271
"ATF4",-0.775168722548188,0.109,0.891
"BATF3",-0.025790673599701,0.509,0.491
"CEBPD",-1.43281707031489,0.023,0.977
"CREB1",0.135362584512902,0.603,0.397
"E2F6",0.181284384625894,0.627,0.373
"EGR1",-0.902145153862939,0.092,0.908
"EHF",-0.18998196466795,0.376,0.624
"ELF1",-0.177733503752498,0.293,0.707
"ELF3",-1.2072598589639,0,1
"ESRRA",-0.796907917770369,0.115,0.885
"ETV1",-0.133078645057916,0.368,0.632
"ETV5",-0.154555869157438,0.364,0.636
"FOSL1",-1.51711533596502,0.062,0.938
"FOXA2",-0.873914545321573,0.099,0.901
"FOXK2",0.354046607319832,0.843,0.157
"FOXP1",-0.144635886157073,0.35,0.65
"GABPA",1.15677811557995,0.927,0.073
"HLF",0.713410671417961,0.909,0.091
"HNF4A",-1.06774672913668,0.06,0.94
"HNF4G",-0.606166009833395,0.152,0.848
"JUNB",-0.85733155056205,0.063,0.937
"JUND",-0.8174545710037,0.095,0.905
"KLF4",-0.82961070847454,0.124,0.876
"KLF9",0.57272755349686,0.798,0.202
"MAFF",-0.105278672660368,0.407,0.593
"MAFG",0.0212503571711922,0.542,0.458
"MAFK",0.368273803665556,0.907,0.093
"MEF2A",0.145085457104018,0.66,0.34
"MITF",-0.0223881044548751,0.493,0.507
"MXI1",-0.142660415643355,0.343,0.657
"MZF1",-0.43621639278256,0.381,0.619
"NFE2L1",-1.26385697122616,0.019,0.981
"NFIL3",-0.183902306604196,0.312,0.688
"NFYB",0.358155046736129,0.728,0.272
"NR4A1",-0.551347707630442,0.184,0.816
"PBX2",-0.837849561259999,0.079,0.921
"PKNOX1",0.269198040392753,0.709,0.291
"RFX1",-0.415955706308385,0.222,0.778
"RFX3",0.0517196960065616,0.539,0.461
"SCRT1",-0.904101196750044,0.104,0.896
"TCF3",0.303289554693533,0.761,0.239
"TCF4",0.187084862655894,0.673,0.327
"TCF7",0.350741183728898,0.797,0.203
"TEAD1",-0.020368082295185,0.463,0.537
"TEAD4",-1.12731203886084,0.136,0.864
"USF1",-0.198848746345348,0.352,0.648
"USF2",-0.104173877834665,0.404,0.596
"YY2",0.699395045952938,0.956,0.044
"ZNF263",-0.197445473672833,0.352,0.648
"CREM",0.0285423489326385,0.536,0.464
