,score,pvalue_low,pvalue_high
ELF3,-0.309130713,0.022,0.978
ESRRA,0.006785044,0.494,0.506
ETV1,0.567141227,0.994,0.006
ETV5,-0.020721625,0.428,0.572
FOSL1,0.155864189,0.662,0.338
FOXA2,0.224787518,0.974,0.026
FOXK2,-0.140895231,0.213,0.787
FOXP1,0.593660716,0.982,0.018
GABPA,-0.212206115,0.116,0.884
HLF,-0.099545771,0.207,0.793
HNF4A,-3.102206538,0,1
HNF4G,-2.358701672,0,1
JUNB,0.187538187,0.916,0.084
JUND,0.093601299,0.71,0.29
KLF4,0.176121437,0.7,0.3
KLF9,0.022328956,0.581,0.419
MAFF,-0.08992148,0.345,0.655
MAFG,-0.093821169,0.27,0.73
MAFK,-0.269733164,0.03,0.97
MEF2A,0.585921918,0.966,0.034
MITF,-0.407716863,0.039,0.961
MXI1,0.265866896,0.946,0.054
MZF1,-0.049547596,0.395,0.605
NFE2L1,-0.177792068,0.333,0.667
NFIL3,-0.081563104,0.342,0.658
NFYB,-0.135128377,0.284,0.716
NR4A1,0.480459772,0.93,0.07
PBX2,-0.040606973,0.401,0.599
PKNOX1,-0.158694866,0.228,0.772
RFX1,-0.105578304,0.302,0.698
RFX3,1.098146069,0.998,0.002
SCRT1,-0.070298087,0.312,0.688
TCF3,-0.593855798,0.03,0.992
TCF4,1.131056247,1,0
TCF7,0.01139677,0.544,0.456
TEAD1,0.669651066,1,0
TEAD4,-0.120804452,0.326,0.674
USF1,-0.347809395,0.121,0.879
USF2,-0.013427317,0.467,0.533
YY2,-0.184072535,0.097,0.903
ZNF263,-0.207024237,0.214,0.786
CREM,0.070072727,0.619,0.381
