"","score","pvalue_low","pvalue_high"
"ETV5",-0.039710619346316,0.454,0.546
"FOSL1",-0.978086088473603,0.097,0.903
"FOXA2",-0.942725107927908,0.08,0.92
"FOXK2",0.386974338247251,0.856,0.144
"FOXP1",-0.455280339770167,0.248,0.752
"GABPA",0.876194949139649,0.882,0.118
"HLF",0.741564915586549,0.905,0.095
"HNF4A",-1.36488066086719,0.031,0.969
"HNF4G",-0.86076577333529,0.115,0.885
"JUNB",-0.923916683711641,0.037,0.963
"JUND",-0.659962356631718,0.13,0.87
"KLF4",-0.835647560902151,0.106,0.894
"KLF9",0.610483846696997,0.824,0.176
"MAFF",0.040158855315135,0.539,0.461
"MAFG",0.083440669016575,0.623,0.377
"MAFK",0.336650806341172,0.86,0.14
"MEF2A",-0.217717136435155,0.336,0.664
"MITF",-0.172809505688858,0.364,0.636
"MXI1",0.114738367274731,0.632,0.368
"MZF1",-0.190394369845815,0.449,0.551
"NFE2L1",-1.07471695131465,0.041,0.959
"NFIL3",-0.128878345220046,0.38,0.62
"NFYB",0.474457848109172,0.762,0.238
"NR4A1",-0.343492228858036,0.256,0.744
"PBX2",-0.834312386605359,0.081,0.919
"PKNOX1",0.264514638987124,0.729,0.271
"RFX1",-0.24748939116677,0.296,0.704
"RFX3",-0.258891917623414,0.304,0.696
"SCRT1",-0.845919056245912,0.079,0.921
"TCF3",-0.0664177028753998,0.392,0.608
"TCF4",-0.0754104384840797,0.45,0.55
"TCF7",0.524389109636644,0.924,0.076
"TEAD1",0.139201413586777,0.673,0.327
"TEAD4",-0.816223582620797,0.159,0.841
"USF1",-0.221082000514738,0.318,0.682
"USF2",-0.122093089508903,0.354,0.646
"YY2",0.778851748208098,0.987,0.013
"ZNF263",-0.0954747137537577,0.398,0.602
"CREM",-0.208818033634109,0.357,0.643
