"","score","pvalue_low","pvalue_high"
"IRF2",0.42217904712944,0.735,0.265
"PAX6",-0.48086662839308,0.097,0.903
"PBX1",0.493403109450059,0.803,0.197
"RORA",-0.669215102714503,0.18,0.82
"RREB1",-0.0165692709822448,0.469,0.531
"SOX9",0.0448799823648614,0.554,0.446
"REL",0.277531477826427,0.716,0.284
"RELA",-0.509961714475298,0.179,0.821
"ZNF354C",1.15522226012553,0.907,0.093
"CTCF",-0.0451967521288631,0.407,0.593
"REST",-0.970159430645425,0.087,0.913
"NFATC2",0.0209817046234611,0.548,0.452
"INSM1",-1.45322817197383,0.018,0.982
"NR4A2",0.155893812796761,0.649,0.351
"PLAG1",-0.0629379596191062,0.429,0.571
"FOS",-0.789323063082979,0.14,0.86
"FOSL2",-0.239861759862157,0.341,0.659
"JUN",-1.00959525509449,0.044,0.956
"NR2C2",0.103792031507466,0.584,0.416
"NRF1",1.03006575012743,0.982,0.018
"TCF7L2",0.199443458545781,0.681,0.319
"ZBTB33",1.12237778366877,0.955,0.045
"ELK4",0.280035058935287,0.695,0.305
"ESR2",0.229767971346057,0.696,0.304
"IRF1",0.163866202824562,0.636,0.364
"STAT1",0.426048035086505,0.742,0.258
"STAT3",-0.788034537373218,0.09,0.91
"YY1",0.12335750968235,0.603,0.397
"FOXP2",-0.417702310683772,0.259,0.741
"SREBF1",-0.981155172048626,0.017,0.983
"SREBF2",-0.70041992087005,0.15,0.85
"THAP1",0.33319363528247,0.694,0.306
"KLF5",0.149516826281474,0.592,0.408
"NFATC3",-0.00854112558906011,0.493,0.507
"POU6F1",0.356495139050884,0.762,0.238
"BHLHE41",0.121333198705351,0.606,0.394
"CENPB",-1.35328879946961,0.021,0.979
"CREB3",10,10,10
"DBP",-1.10172514118869,0.04,0.96
"ELF4",0.169799358926923,0.657,0.343
"ETV6",0.278275228816338,0.691,0.309
"FOXO3",0.201296957361596,0.671,0.329
"GRHL1",0.406231921344462,0.755,0.245
"HINFP",-0.565893612499179,0.215,0.785
"HNF1A",-1.33030006559057,0.005,0.995
"HNF1B",-0.0240262852241403,0.466,0.534
"HSF1",-0.142666068237608,0.345,0.655
"KLF13",0.787499233470694,0.868,0.132
"MLX",-0.677650148944975,0.179,0.821
"MLXIPL",-0.874366925444706,0.071,0.929
"NFIA",0.0455665844393378,0.536,0.464
"NFIX",-0.0682741020980884,0.404,0.596
"SP4",1.03133383828192,0.949,0.051
"SRF",10,10,10
"TFAP4",-0.0582333235099413,0.427,0.573
"TFCP2",-0.057594760193252,0.435,0.565
"TFEB",0.302963511972036,0.704,0.296
"ZBTB7B",-0.919089382275234,0.073,0.927
"ZBTB7C",-0.222946162707115,0.304,0.696
"ZBTB18",-0.0335588197727262,0.481,0.519
"MNX1",-0.74535197536932,0.118,0.882
"PDX1",0.0134965859756367,0.496,0.504
"RHOXF1",0.347386335519866,0.824,0.176
"VAX2",1.05474815525806,0.907,0.093
"ESR1",-0.00396946477552076,0.484,0.516
"ESRRB",-0.108681410854006,0.443,0.557
"NR3C1",-0.16051479635996,0.379,0.621
"NR3C2",-0.214432149450218,0.333,0.667
"RARA",0.00583788165947187,0.518,0.482
"EGR3",-0.333062574079972,0.264,0.736
"EGR4",-0.435382306337691,0.232,0.768
"GLIS2",-1.02435934161807,0.018,0.982
"GLIS3",-0.652099976298835,0.187,0.813
"HIC2",0.0833408529431897,0.601,0.399
"KLF16",-1.37206373615553,0.007,0.993
"ZNF143",0.448619561528187,0.897,0.103
"CUX1",-0.0232342997947332,0.507,0.493
"ONECUT2",1.13398116495206,0.958,0.042
"ELK3",0.662900042746996,0.789,0.211
"ERF",-0.870960755676105,0.141,0.859
"ETS1",0.631279124220181,0.837,0.163
"ETV3",0.612036089642187,0.803,0.197
"HSF2",0.593862332087939,0.81,0.19
"HSF4",-0.975452490965216,0.029,0.971
"IRF7",-0.759149125436888,0.165,0.835
"MEF2D",0.444873109579311,0.858,0.142
"MEIS1",-0.0762059793460459,0.432,0.568
"MEIS2",-0.721472665926728,0.157,0.843
"MEIS3",-0.899520597599253,0.115,0.885
"NFKB1",0.915597724323722,0.935,0.065
"NFKB2",-0.800842601551291,0.096,0.904
"PKNOX2",-0.441936323434323,0.271,0.729
"POU2F1",0.0399051871490748,0.551,0.449
"POU6F2",0.0242851137076618,0.534,0.466
"PROX1",0.49081665991075,0.773,0.227
"RFX2",0.140381350756294,0.63,0.37
"SMAD3",0.322606810635195,0.703,0.297
"RUNX2",0.232585392725997,0.669,0.331
"MGA",0.369094663639131,0.766,0.234
"TBX19",0.0143425534899106,0.51,0.49
"BHLHE40",-0.648038675852502,0.13,0.87
"CLOCK",0.216216461310718,0.685,0.315
"HEY1",0.255946388939317,0.703,0.297
"MAX",0.415576271574127,0.855,0.145
"MNT",-0.491606561920603,0.142,0.858
"OLIG1",-0.955889479109311,0.094,0.906
"ATF7",0.192798306807212,0.647,0.353
"CEBPB",-0.84475095984619,0.098,0.902
"CEBPG",0.148739016179043,0.559,0.441
"CREB3L1",0.0547519588159432,0.574,0.426
"TEF",-0.942792381943648,0.061,0.939
"XBP1",-1.29668487117898,0.038,0.962
"FOXO6",0.175035522133108,0.663,0.337
"RXRB",-0.580934304171246,0.16,0.84
"RXRG",0.277537820797771,0.715,0.285
"TP53",-0.137486031475677,0.346,0.654
"GMEB2",0.143024096818946,0.625,0.375
"MTF1",0.154412808736321,0.623,0.377
"ELK1",0.0186889602494752,0.511,0.489
"HMBOX1",0.210011603252138,0.679,0.321
"FOXK1",0.164040673637108,0.623,0.377
"HIF1A",-0.0105108659016662,0.482,0.518
"NEUROD1",-0.375570720211553,0.243,0.757
"NFIC",-0.93910421665279,0.039,0.961
"NFYA",0.561649623795228,0.843,0.157
"NR2F2",0.504190633468568,0.783,0.217
"PAX5",1.6350437875986,0.983,0.017
"PBX3",-0.136918188058472,0.373,0.627
"RBPJ",1.60106581398786,0.965,0.035
"RELB",-0.54473195537763,0.14,0.86
"SIX2",-0.78191470544022,0.122,0.878
"SOX13",-0.679035598987524,0.085,0.915
"TFDP1",0.252842329922197,0.688,0.312
"ZBTB7A",-0.962515787645154,0.069,0.931
"ZEB1",-0.0121410897112293,0.502,0.498
"ZNF24",0.54439984728682,0.851,0.149
"ZNF384",-0.437862987331335,0.253,0.747
"ZNF282",0.767484493588393,0.97,0.03
"RORB",-0.394677071743621,0.222,0.778
"RORC",0.0665555565046567,0.616,0.384
"TFE3",-0.981748450171656,0.076,0.924
"VDR",-0.153973551266569,0.375,0.625
"IRF3",-1.28851428004219,0.031,0.969
"ARNT2",-0.111077837390888,0.396,0.604
"ATF6",1.232992709694,0.969,0.031
"BACH2",1.13286407172186,0.868,0.132
"CREB3L4",-0.306673980131912,0.274,0.726
"ELF2",-0.458836082664097,0.27,0.73
"ETS2",0.839150979621541,0.948,0.052
"FOXN3",0.582509465272276,0.816,0.184
"HES6",-1.00664023889802,0.057,0.943
"IRF6",0.12610905947706,0.612,0.388
"KLF10",-0.216691815205424,0.29,0.71
"KLF11",1.20443835495028,0.929,0.071
"KLF2",-0.796925048054636,0.039,0.961
"KLF3",-0.114934746684513,0.349,0.651
"KLF6",-0.301238025732432,0.261,0.739
"MAF",0.151495338891828,0.631,0.369
"MAFA",-0.25181101322481,0.325,0.675
"MAZ",-0.919854547512327,0.068,0.932
"MSANTD3",0.0496110433387805,0.535,0.465
"NR1D1",-0.487944010889311,0.205,0.795
"NR1D2",0.974977839566284,0.906,0.094
"NR2C1",-0.0837347065494161,0.382,0.618
"NR6A1",-0.125294759888161,0.395,0.605
"OVOL2",0.272303671680377,0.719,0.281
"PLAGL2",1.03366989679346,0.926,0.074
"PPARD",-0.179078946041587,0.343,0.657
"RFX7",0.449302140282722,0.798,0.202
"SMAD5",1.343918769029,0.987,0.013
"SOX12",-0.877866631209748,0.092,0.908
"TFAP2E",0.278089860908747,0.772,0.228
"THAP11",-1.27350391694093,0.015,0.985
"THRB",0.118727095637626,0.624,0.376
"VEZF1",0.999101695960134,0.93,0.07
"ZBTB26",0.48275469792635,0.785,0.215
"ZBTB6",-0.0183642966592229,0.491,0.509
"ZKSCAN1",-0.623069141680649,0.163,0.837
"ZNF135",-0.117759005151735,0.369,0.631
"ZNF136",0.833677011245829,0.98,0.02
"ZNF140",0.287862625967472,0.647,0.353
"ZNF274",0.717111046441901,0.958,0.042
"ZNF317",0.457740480155186,0.869,0.131
"ZNF382",0.341168487264973,0.694,0.306
"ZNF460",0.980023164543508,0.933,0.067
"ZNF528",1.07516934219185,0.985,0.015
"ZNF682",0.83479426358631,0.878,0.122
"ZNF684",-0.814021136386774,0.089,0.911
"ZNF75D",0.188619509071447,0.619,0.381
"ZSCAN29",0.266686604276302,0.64,0.36
"ASCL1",-1.1637989056188,0.037,0.963
"ATF3",-0.433847047753073,0.196,0.804
"BCL6",-0.0900122783401548,0.421,0.579
"E2F3",0.0724712765093646,0.551,0.449
"E2F4",-0.542850665910115,0.202,0.798
"HES1",-1.21857719064062,0.035,0.965
"NRL",-0.23590288487327,0.413,0.587
"SOX4",-0.827975834168515,0.059,0.941
"SP1",-0.121934017424063,0.42,0.58
"SP2",0.349498088796021,0.708,0.292
"SP3",1.19692532703408,0.996,0.004
"TCFL5",0.114434157733652,0.624,0.376
"ZNF740",0.0396972216103792,0.575,0.425
"ATF2",1.54000889769788,0.997,0.003
"BACH1",1.37136400038252,0.98,0.02
"NFYC",-0.174159765359388,0.356,0.644
"PRDM4",0.637120222311004,0.819,0.181
"ZBTB14",0.0763246310445711,0.562,0.438
"ZKSCAN5",-0.035379182964206,0.481,0.519
"ZNF148",-0.112146088409904,0.407,0.593
"ZNF16",0.225637680612833,0.652,0.348
"ZNF341",0.296223381547956,0.784,0.216
"ZNF449",0.752236491533322,0.851,0.149
"ZNF652",-0.0671437346728383,0.422,0.578
"ATF4",-0.611261568912975,0.159,0.841
"BATF3",0.0176266027039031,0.512,0.488
"CEBPD",-1.25127801936934,0.035,0.965
"CREB1",-0.158217098534579,0.342,0.658
"E2F6",0.519168448478677,0.793,0.207
"EGR1",-0.994141320370819,0.046,0.954
"EHF",0.0724348374495895,0.563,0.437
"ELF1",0.030442049238739,0.538,0.462
"ELF3",-1.272141180905,0.001,0.999
"ESRRA",-0.913855689581539,0.087,0.913
"ETV1",-0.090831798740561,0.409,0.591
