"","score","pvalue_low","pvalue_high"
"IRF2",-0.0803856877035855,0.432,0.568
"PAX6",-0.676287179538282,0.144,0.856
"PBX1",-1.27391805221203,0.013,0.987
"RORA",-0.272855799054884,0.277,0.723
"RREB1",-0.634205687609128,0.113,0.887
"SOX9",0.15666675161447,0.649,0.351
"REL",0.0282927627719311,0.533,0.467
"RELA",1.49418950611065,0.967,0.033
"ZNF354C",0.615608224096114,0.779,0.221
"CTCF",10,10,10
"REST",-0.307722347401136,0.227,0.773
"NFATC2",0.0937100602510674,0.612,0.388
"INSM1",0.0606842655846681,0.561,0.439
"NR4A2",-0.789492960421608,0.129,0.871
"PLAG1",-0.466131016717792,0.198,0.802
"FOS",-0.120032103578491,0.36,0.64
"FOSL2",0.0244416988687952,0.544,0.456
"JUN",0.061916728570272,0.586,0.414
"NR2C2",-0.781261917830364,0.12,0.88
"NRF1",0.308113477506099,0.668,0.332
"TCF7L2",-0.543163551731584,0.153,0.847
"ZBTB33",0.322361072867894,0.672,0.328
"ELK4",-0.738156775813566,0.149,0.851
"ESR2",0.0096456670548459,0.475,0.525
"IRF1",0.0783784575735768,0.563,0.437
"STAT1",0.303584317789786,0.653,0.347
"STAT3",-0.0714584275332506,0.402,0.598
"YY1",0.374841340942092,0.712,0.288
"FOXP2",-0.76313662030843,0.059,0.941
"SREBF1",0.143298286071338,0.666,0.334
"SREBF2",0.541297119102876,0.809,0.191
"THAP1",-0.187793937864805,0.361,0.639
"KLF5",-0.381728453176236,0.222,0.778
"NFATC3",-0.00520026889419299,0.519,0.481
"POU6F1",0.316605746700226,0.683,0.317
"BHLHE41",-0.0428601978525269,0.448,0.552
"CENPB",0.262532354556793,0.704,0.296
"CREB3",10,10,10
"DBP",0.379210674901392,0.791,0.209
"ELF4",0.531209080820817,0.732,0.268
"ETV6",-0.244857084735952,0.326,0.674
"FOXO3",-0.545108427417713,0.162,0.838
"GRHL1",0.0298929545274337,0.531,0.469
"HINFP",0.0316371304105267,0.528,0.472
"HNF1A",0.798625949623158,0.893,0.107
"HNF1B",1.91473941001294,0.954,0.046
"HSF1",1.78192346478754,0.959,0.041
"KLF13",0.0499838796995782,0.556,0.444
"MLX",0.742883789623751,0.843,0.157
"MLXIPL",-0.055150880455679,0.436,0.564
"NFIA",-1.20437420043171,0.004,0.996
"NFIX",-0.115415487445314,0.377,0.623
"SP4",-0.00144376403133032,0.505,0.495
"SRF",1.51409805102572,0.934,0.066
"TFAP4",10,10,10
"TFCP2",-0.961556688981081,0.055,0.945
"TFEB",-0.890594283448718,0.054,0.946
"ZBTB7B",10,10,10
"ZBTB7C",-0.994846888570263,0.065,0.935
"ZBTB18",-0.830341016009604,0.129,0.871
"MNX1",-0.158469710372311,0.364,0.636
"PDX1",-0.0260970923641187,0.458,0.542
"RHOXF1",1.98458161028569,0.976,0.024
"VAX2",10,10,10
"ESR1",-0.937097743326833,0.055,0.945
"ESRRB",0.677989312632203,0.793,0.207
"NR3C1",-0.995829880644131,0.02,0.98
"NR3C2",-0.685275802659651,0.091,0.909
"RARA",-0.208452367321573,0.303,0.697
"EGR3",-0.92761682919192,0.073,0.927
"EGR4",-0.537751798604205,0.15,0.85
"GLIS2",-0.178041050522529,0.311,0.689
"GLIS3",-0.633198845596344,0.085,0.915
"HIC2",1.58271730422577,0.95,0.05
"KLF16",0.299636755164482,0.741,0.259
"ZNF143",2.03063784086967,0.991,0.009
"CUX1",-1.12882550014387,0.019,0.981
"ONECUT2",-0.355496587953915,0.245,0.755
"ELK3",0.281916783574656,0.711,0.289
"ERF",0.415820260693818,0.772,0.228
"ETS1",0.250407025718313,0.677,0.323
"ETV3",0.788254045449798,0.774,0.226
"HSF2",-0.0748978865397851,0.438,0.562
"HSF4",0.187422752082581,0.68,0.32
"IRF7",0.0656673656605906,0.56,0.44
"MEF2D",1.74468661841862,0.958,0.042
"MEIS1",-0.97466780687898,0.02,0.98
"MEIS2",-0.153325130722302,0.361,0.639
"MEIS3",0.684636874002248,0.827,0.173
"NFKB1",-0.136586955731922,0.395,0.605
"NFKB2",0.24504125718738,0.753,0.247
"PKNOX2",-0.548303588694427,0.205,0.795
"POU2F1",-0.273816939354345,0.289,0.711
"POU6F2",10,10,10
"PROX1",0.0114071111932228,0.516,0.484
"RFX2",-0.287282331971914,0.279,0.721
"SMAD3",0.131129471534278,0.614,0.386
"RUNX2",-0.509646098045574,0.177,0.823
"MGA",-0.283419470378639,0.391,0.609
"TBX19",0.227752112101849,0.678,0.322
"BHLHE40",-0.262214476970984,0.275,0.725
"CLOCK",-0.9951390114918,0.05,0.95
