"","score","pvalue_low","pvalue_high"
"FOXK2",1.46946406003435,0.95,0.05
"FOXP1",0.0256596171817701,0.551,0.448
"GABPA",-1.2058935692156,0.073,0.926
"HLF",0.23730956469361,0.63,0.37
"HNF4A",10,10,10
"HNF4G",-1.15821641894458,0.069,0.93
"JUNB",0.321333507112694,0.726,0.274
"JUND",1.44095851227797,0.954,0.046
"KLF4",0.159123830673028,0.693,0.307
"KLF9",-0.449821936642437,0.216,0.783
"MAFF",0.154082108228787,0.635,0.364
"MAFG",1.29483290814567,0.92,0.08
"MAFK",1.26686582310738,0.893,0.107
"MEF2A",-0.0632708032535158,0.458,0.541
"MITF",-0.852983812947541,0.095,0.904
"MXI1",-0.400507133094383,0.202,0.797
"MZF1",-0.157180908890548,0.356,0.643
"NFE2L1",1.86798861736702,0.99,0.01
"NFIL3",-0.736606991976779,0.125,0.874
"NFYB",0.0565601172232905,0.524,0.476
"NR4A1",0.312057088083736,0.78,0.219
"PBX2",0.534103462266788,0.836,0.164
"PKNOX1",-0.227221147468143,0.351,0.649
"RFX1",0.226994786821711,0.685,0.315
"RFX3",-0.430347080002269,0.158,0.841
"SCRT1",-0.0121497942382245,0.487,0.513
"TCF3",0.172616558490066,0.662,0.337
"TCF4",-0.637052032339765,0.098,0.901
"TCF7",0.813103099003788,0.786,0.214
"TEAD1",-0.822165954941931,0.051,0.948
"TEAD4",0.612667876458557,0.886,0.114
"USF1",2.45960911030493,1,0
"USF2",1.16834893151678,0.937,0.063
"YY2",0.356984547707695,0.664,0.336
"ZNF263",0.00655552233555684,0.512,0.488
"CREM",-0.488803373341391,0.146,0.853
