"","score","pvalue_low","pvalue_high"
"IRF2",1.27920718259413,0.98,0.019
"PAX6",0.248931140130004,0.694,0.305
"PBX1",2.24570187167403,0.999,0
"RORA",-0.0396608443401019,0.476,0.523
"RREB1",1.09211900372007,0.924,0.075
"SOX9",-0.266077637902102,0.317,0.682
"REL",0.364820267026985,0.752,0.248
"RELA",-1.23987928911544,0.003,0.996
"ZNF354C",-0.0662385840488033,0.397,0.602
"CTCF",-0.473155756092244,0.216,0.783
"REST",-0.17128524031326,0.318,0.681
"NFATC2",-0.29641990341696,0.303,0.696
"INSM1",-1.14779579381225,0.083,0.916
"NR4A2",0.346354455817358,0.781,0.219
"PLAG1",0.522084924334548,0.806,0.193
"FOS",0.0223135047044675,0.565,0.434
"FOSL2",0.374223423839946,0.808,0.191
"JUN",-0.337682251388184,0.242,0.757
"NR2C2",1.02187104141992,0.897,0.102
"NRF1",0.229648973749802,0.591,0.408
"TCF7L2",1.05673071846754,0.936,0.063
"ZBTB33",-0.112128717127902,0.372,0.627
"ELK4",1.19000898977327,0.939,0.06
"ESR2",0.638676446522268,0.855,0.144
"IRF1",0.0288453073829825,0.507,0.492
"STAT1",0.185643102129783,0.647,0.352
"STAT3",-0.024973189746408,0.499,0.5
"YY1",-0.210920401370192,0.345,0.654
"FOXP2",0.256498869150766,0.725,0.274
"SREBF1",-0.623070343390108,0.154,0.845
"SREBF2",-0.816336759106053,0.088,0.911
"THAP1",0.969900803717135,0.929,0.07
"KLF5",0.547866494170124,0.846,0.153
"NFATC3",-0.0436899125761513,0.488,0.512
"POU6F1",0.0274854868589914,0.555,0.444
"BHLHE41",-0.116091099392475,0.391,0.608
"CENPB",-1.4257780055466,0.024,0.975
"CREB3",10,10,10
"DBP",-0.977277363518176,0.115,0.884
"ELF4",-0.322256995450508,0.308,0.691
"ETV6",1.50696564451828,0.987,0.012
"FOXO3",0.339694344882157,0.738,0.261
"GRHL1",0.677084667941604,0.841,0.158
"HINFP",-0.644820819513011,0.164,0.835
"HNF1A",-0.653878400449035,0.197,0.802
"HNF1B",-0.339002335044093,0.309,0.69
"HSF1",-1.33368711169657,0.048,0.951
"KLF13",1.28076869319904,0.965,0.034
"MLX",-1.1592737157175,0.045,0.954
"MLXIPL",-0.307956026555352,0.338,0.661
"NFIA",1.70623622647551,0.996,0.003
"NFIX",-0.028113252332113,0.505,0.495
"SP4",-0.06449413878911,0.42,0.579
"SRF",10,10,10
"TFAP4",-0.664339677304684,0.148,0.851
"TFCP2",1.16789429038143,0.929,0.07
"TFEB",1.60399736204292,0.981,0.018
"ZBTB7B",-0.208554949756572,0.262,0.737
"ZBTB7C",0.425094431971077,0.782,0.217
"ZBTB18",0.906839046979241,0.878,0.121
"MNX1",-0.190522911565059,0.368,0.631
"PDX1",0.46392240036211,0.784,0.215
"RHOXF1",-0.573620737066222,0.264,0.735
"VAX2",0.506267468073069,0.753,0.246
"ESR1",1.4251771849649,0.963,0.036
"ESRRB",-0.554274424224896,0.108,0.891
"NR3C1",0.431927398640808,0.76,0.239
"NR3C2",0.426263486566051,0.783,0.216
"RARA",-0.109177659919906,0.438,0.561
"EGR3",0.695261334061287,0.861,0.138
"EGR4",0.0302442197662912,0.556,0.443
"GLIS2",-0.684718653199313,0.141,0.858
"GLIS3",-0.00894810629250464,0.515,0.484
"HIC2",-0.982428707548241,0.128,0.871
"KLF16",-1.5022997253659,0.019,0.98
"ZNF143",-0.648080443148638,0.174,0.825
"CUX1",0.992747426929322,0.895,0.104
