"","score","pvalue_low","pvalue_high"
"IRF2",-0.574314341269577,0.289,0.711
"PAX6",-0.0326802098563273,0.48,0.52
"PBX1",-2.00059404896215,0,1
"RORA",-0.172159779904375,0.298,0.702
"RREB1",-0.657568839759385,0.142,0.858
"SOX9",-0.308850940286988,0.229,0.771
"REL",-0.286591025324411,0.283,0.717
"RELA",1.84412589441598,0.999,0.001
"ZNF354C",-0.0934109134945168,0.408,0.592
"CTCF",10,10,10
"REST",-0.0178469544704204,0.446,0.554
"NFATC2",0.154331641879779,0.631,0.369
"INSM1",0.316375442632556,0.766,0.234
"NR4A2",-0.375527795354643,0.247,0.753
"PLAG1",-0.0564648960261873,0.389,0.611
"FOS",-0.0691051393514018,0.384,0.616
"FOSL2",-0.751867003837914,0.114,0.886
"JUN",0.230997107206523,0.733,0.267
"NR2C2",-0.570090277815053,0.191,0.809
"NRF1",0.0199239909269888,0.509,0.491
"TCF7L2",-0.671129738223983,0.09,0.91
"ZBTB33",-0.00836386592329896,0.502,0.498
"ELK4",-1.01870111108179,0.068,0.932
"ESR2",-0.772475730569892,0.098,0.902
"IRF1",0.180945060483048,0.651,0.349
"STAT1",0.0479538413442582,0.538,0.462
"STAT3",-0.0216464518155083,0.491,0.509
"YY1",0.0367522207909206,0.557,0.443
"FOXP2",-0.162251931752831,0.327,0.673
"SREBF1",0.264348925903929,0.766,0.234
"SREBF2",1.06495538412561,0.91,0.09
"THAP1",-0.836037889471798,0.1,0.9
"KLF5",-0.283261277207735,0.244,0.756
"NFATC3",-0.247614197989573,0.274,0.726
"POU6F1",-0.0826078909811042,0.455,0.545
"BHLHE41",-0.154324786040803,0.388,0.612
"CENPB",1.63344374233016,0.987,0.013
"CREB3",10,10,10
"DBP",1.77648196637636,0.988,0.012
"ELF4",0.655344795116737,0.734,0.266
"ETV6",-1.19040042793401,0.04,0.96
"FOXO3",-0.0154881668796343,0.462,0.538
"GRHL1",-1.04598726715283,0.099,0.901
"HINFP",0.849073452964356,0.885,0.115
"HNF1A",2.40727976264331,0.995,0.005
"HNF1B",1.18555438331607,0.86,0.14
"HSF1",2.01840123788813,0.966,0.034
"KLF13",-1.24677303575544,0.031,0.969
"MLX",1.31438419679288,0.936,0.064
"MLXIPL",0.0786924173728491,0.567,0.433
"NFIA",-1.16375760051579,0.006,0.994
"NFIX",0.377933120850051,0.802,0.198
"SP4",-0.41941266415578,0.268,0.732
"SRF",1.14533178501919,0.939,0.061
"TFAP4",10,10,10
"TFCP2",-0.716330431062341,0.126,0.874
"TFEB",-1.23600398091184,0.033,0.967
"ZBTB7B",10,10,10
"ZBTB7C",-0.263344569073139,0.223,0.777
"ZBTB18",-0.463886008816608,0.214,0.786
"MNX1",-0.221790596232636,0.319,0.681
"PDX1",-0.2180243988338,0.295,0.705
"RHOXF1",1.32695374385585,0.907,0.093
"VAX2",10,10,10
"ESR1",-1.2002590935816,0.024,0.976
"ESRRB",0.800022557253657,0.884,0.116
"NR3C1",-0.51986765264093,0.145,0.855
"NR3C2",-0.277880334489463,0.261,0.739
"RARA",0.168462719818019,0.663,0.337
"EGR3",-0.780390639217217,0.097,0.903
"EGR4",0.17122633407609,0.686,0.314
"GLIS2",0.71723038559136,0.91,0.09
"GLIS3",0.0765601798542619,0.577,0.423
"HIC2",1.17278044947958,0.886,0.114
"KLF16",1.69568086259933,0.987,0.013
"ZNF143",1.22958036127099,0.897,0.103
"CUX1",-0.449255016604178,0.204,0.796
"ONECUT2",-1.84371103092636,0,1
"ELK3",-0.597426924348367,0.198,0.802
"ERF",1.66462410969201,0.975,0.025
"ETS1",-0.826944129093246,0.148,0.852
"ETV3",-0.111432347657909,0.435,0.565
"HSF2",-0.124487865909621,0.378,0.622
"HSF4",0.37046455014071,0.817,0.183
