"","score","pvalue_low","pvalue_high"
"IRF7",0.795159725439793,0.92,0.08
"MEF2D",1.26203100916345,0.904,0.096
"MEIS1",-0.564912664504659,0.157,0.843
"MEIS2",-0.0565189181717094,0.412,0.588
"MEIS3",1.87557702029172,0.985,0.015
"NFKB1",-0.517046436930645,0.206,0.794
"NFKB2",0.327340452352297,0.777,0.223
"PKNOX2",0.211751590293502,0.723,0.277
"POU2F1",-0.0916696161530184,0.373,0.627
"POU6F2",10,10,10
"PROX1",-1.31139676200911,0.049,0.951
"RFX2",0.085582588529003,0.563,0.437
"SMAD3",-1.05801684747392,0.061,0.939
"RUNX2",-1.61858985298191,0,1
"MGA",-0.519400128475953,0.288,0.712
"TBX19",-0.244937094154153,0.317,0.683
"BHLHE40",0.127135275522493,0.655,0.345
"CLOCK",-0.990606732970222,0.049,0.951
"HEY1",10,10,10
"MAX",1.16798604490297,0.887,0.113
"MNT",10,10,10
"OLIG1",0.0955977773640216,0.624,0.376
"ATF7",-1.36888705354131,0.046,0.954
"CEBPB",0.494373168868873,0.851,0.149
"CEBPG",1.79833922766728,0.976,0.024
"CREB3L1",0.0101191175668298,0.51,0.49
"TEF",0.76500944748917,0.906,0.094
"XBP1",1.38173428618527,0.958,0.042
"FOXO6",-0.314859521816174,0.206,0.794
"RXRB",1.1450593638044,0.953,0.047
"RXRG",-0.855376384689726,0.139,0.861
"TP53",0.543416203192152,0.792,0.208
"GMEB2",1.55815314530922,0.951,0.049
"MTF1",-0.896325344706706,0.112,0.888
"ELK1",10,10,10
"HMBOX1",-1.28811697850476,0.013,0.987
"FOXK1",10,10,10
"HIF1A",-0.949168070469201,0.07,0.93
"NEUROD1",-0.06946432659646,0.422,0.578
"NFIC",-0.0477148606213753,0.443,0.557
"NFYA",-1.07245179689087,0.098,0.902
"NR2F2",-1.59498459476144,0.034,0.966
"PAX5",10,10,10
"PBX3",-0.496846851808154,0.156,0.844
"RBPJ",-0.253639701000602,0.279,0.721
"RELB",0.542668965506299,0.813,0.187
"SIX2",0.347037066881989,0.703,0.297
"SOX13",-0.355289128826957,0.303,0.697
"TFDP1",-0.065592113284852,0.429,0.571
"ZBTB7A",1.14637693408226,0.918,0.082
"ZEB1",-0.919740854743755,0.092,0.908
"ZNF24",1.05838751290604,0.868,0.132
"ZNF384",1.1009045193631,0.921,0.079
"ZNF282",0.536753201905558,0.749,0.251
"RORB",-1.11403099742296,0.033,0.967
"RORC",1.59135681586244,0.952,0.048
"TFE3",1.88990338173053,1,0
"VDR",0.140571103309332,0.602,0.398
"IRF3",0.0968429213912716,0.622,0.378
"ARNT2",0.141846848816651,0.603,0.397
"ATF6",-0.979293046494338,0.087,0.913
"BACH2",0.111593568636206,0.581,0.419
"CREB3L4",-0.405662202498265,0.203,0.797
"ELF2",-0.137142332311075,0.364,0.636
"ETS2",-0.178266231557224,0.39,0.61
"FOXN3",-0.943780200146661,0.07,0.93
"HES6",0.952142916339588,0.92,0.08
"IRF6",-0.521639269247506,0.175,0.825
"KLF10",-0.119863185675914,0.369,0.631
"KLF11",-0.197648949315437,0.305,0.695
"KLF2",0.717407886123206,0.89,0.11
"KLF3",-1.12016016478572,0.062,0.938
"KLF6",-0.0424545859353997,0.451,0.549
"MAF",0.186062523307582,0.641,0.359
"MAFA",0.0922682299280981,0.633,0.367
"MAZ",0.735759308758143,0.932,0.068
"MSANTD3",0.524598044224178,0.76,0.24
"NR1D1",0.509770326568438,0.821,0.179
"NR1D2",0.192035008251908,0.65,0.35
"NR2C1",0.05297386625606,0.538,0.462
"NR6A1",-0.303779615208625,0.254,0.746
"OVOL2",-0.592298030450556,0.225,0.775
"PLAGL2",-0.340821134970444,0.324,0.676
"PPARD",10,10,10
"RFX7",-1.68678197868287,0.003,0.997
"SMAD5",-0.047327642926883,0.467,0.533
"SOX12",0.482083087682693,0.84,0.16
"TFAP2E",1.36237417727969,0.929,0.071
"THAP11",0.93264959892717,0.903,0.097
"THRB",-0.984884058531069,0.07,0.93
"VEZF1",-0.128173916972754,0.435,0.565
"ZBTB26",-0.130969791818595,0.392,0.608
"ZBTB6",0.181633071405498,0.648,0.352
"ZKSCAN1",1.15922845791682,0.929,0.071
"ZNF135",-0.596844414200625,0.199,0.801
"ZNF136",0.358227924221929,0.692,0.308
"ZNF140",10,10,10
"ZNF274",1.09046435250337,0.858,0.142
"ZNF317",0.736320827319008,0.787,0.213
"ZNF382",-0.0494038924753572,0.461,0.539
"ZNF460",0.0880849274709065,0.587,0.413
"ZNF528",0.02994114578124,0.534,0.466
"ZNF682",-1.54121600824529,0.062,0.938
"ZNF684",0.0767445886050442,0.544,0.456
"ZNF75D",-0.768263925027053,0.157,0.843
"ZSCAN29",-0.0228003517071851,0.475,0.525
"ASCL1",0.231929514451442,0.771,0.229
"ATF3",0.146578331286201,0.662,0.338
"BCL6",-0.112508218385735,0.386,0.614
"E2F3",-1.12408193688545,0.047,0.953
"E2F4",0.751311031489123,0.874,0.126
"HES1",-0.348262561826708,0.19,0.81
"NRL",0.166451173707266,0.702,0.298
"SOX4",-0.0332348012965843,0.448,0.552
"SP1",0.162576640025644,0.636,0.364
"SP2",-0.0595729855961084,0.44,0.56
"SP3",-0.68583500029042,0.193,0.807
"TCFL5",0.220622600650479,0.715,0.285
"ZNF740",10,10,10
"ATF2",-0.772974279659681,0.129,0.871
"BACH1",-0.695293954268924,0.158,0.842
"NFYC",-0.335866370752053,0.242,0.758
"PRDM4",0.244915331038373,0.672,0.328
"ZBTB14",10,10,10
"ZKSCAN5",0.249961188263694,0.671,0.329
"ZNF148",-0.258647520662903,0.264,0.736
"ZNF16",-0.0737955920245497,0.43,0.57
"ZNF341",-0.275609677261262,0.39,0.61
"ZNF449",0.207284840008336,0.669,0.331
"ZNF652",0.91457963654811,0.895,0.105
"ATF4",1.1871503252658,0.92,0.08
"BATF3",0.0524264333788856,0.53,0.47
"CEBPD",0.915512495231501,0.911,0.089
"CREB1",-0.677899280260304,0.143,0.857
"E2F6",-0.159414802713626,0.375,0.625
"EGR1",-0.0757318184900752,0.38,0.62
"EHF",-0.480391439844639,0.186,0.814
"ELF1",-0.0195746322376336,0.461,0.539
"ELF3",1.42917826516717,1,0
"ESRRA",0.469441955873955,0.822,0.178
"ETV1",-0.724866801016055,0.098,0.902
"ETV5",-0.901583394084714,0.092,0.908
"FOSL1",0.632047859674509,0.853,0.147
"FOXA2",0.194503610995259,0.71,0.29
"FOXK2",1.45540931350313,0.941,0.059
"FOXP1",-0.0219619367596133,0.472,0.528
"GABPA",-1.25248473132578,0.086,0.914
"HLF",0.224460537399457,0.642,0.358
"HNF4A",10,10,10
"HNF4G",-1.05453662457715,0.067,0.933
"JUNB",0.298725519134693,0.735,0.265
"JUND",1.46385422213623,0.949,0.051
"KLF4",0.0930764580258177,0.622,0.378
"KLF9",-0.346452851709761,0.256,0.744
"MAFF",-0.107867687704975,0.393,0.607
"MAFG",1.35901931802127,0.919,0.081
"MAFK",1.24824085302566,0.906,0.094
"MEF2A",-0.211084199607563,0.278,0.722
"MITF",-0.738721267099718,0.135,0.865
"MXI1",-0.454001858115791,0.191,0.809
"MZF1",-0.118038243586692,0.389,0.611
"NFE2L1",2.37647735384689,0.99,0.01
"NFIL3",-0.858310757776055,0.106,0.894
"NFYB",0.0515409344444514,0.544,0.456
"NR4A1",0.243334427580493,0.747,0.253
"PBX2",0.55560658718453,0.86,0.14
"PKNOX1",-0.272948951554131,0.347,0.653
"RFX1",0.292519788138426,0.696,0.304
"RFX3",-0.505409963296689,0.124,0.876
"SCRT1",0.056061258001264,0.569,0.431
"TCF3",0.23827070189926,0.711,0.289
"TCF4",-0.671430744538791,0.093,0.907
"TCF7",0.723848389909957,0.773,0.227
"TEAD1",-0.793741991120929,0.05,0.95
"TEAD4",0.406209802821013,0.794,0.206
"USF1",2.74391680355663,1,0
"USF2",1.13201261534007,0.963,0.037
"YY2",0.33706935470793,0.677,0.323
"ZNF263",0.009628888992616,0.523,0.477
"CREM",-0.513660303099009,0.145,0.855
