beta_0_motif_HC,beta_1_motif_HC,beta_0_motif_aganist,beta_1_motif_aganist,beta_0_motif_HC_all,beta_1_motif_HC_all,beta_0_motif_aganist_all,beta_1_motif_aganist_all,beta0_down_HC,beta0_up_HC,beta1_down_HC,beta1_up_HC,beta0_down_aganist,beta0_up_aganist,beta1_down_aganist,beta1_up_aganist
,MAFB,,,,EN1,ZNF460,LHX9,,,,,LXRB,FERD3L,RFX8,JDP-2
,MAFG,,,,EN2,,PRRX1,,,,,SOX5,BHLHA15,ARID5A,CREB3L1
,MAFF,,,,DLX1,,PRRX2,,,,,SOX5,KLF1,ARID5B,CREB3L2
,NRL,,,,DLX2,,DLX1,,,,,SOX13,KLF2,POU3F1,CREB3L3
,,,,,DLX3,,DLX2,,,,,ISX,KLF3,POU3F2,CREB3L4
,,,,,DLX4,,DLX3,,,,,FOXE1,KLF4,POU3F3,ZNF322
,,,,,DLX5,,DLX4,,,,,FOXE3,KLF5,POU3F4,HIC1
,,,,,DLX6,,DLX5,,,,,FOXJ1,KLF6,PITX1,HIC2
,,,,,NOTO,,DLX6,,,,,FOXJ2,KLF7,PITX2,ZNF711
,,,,,PRRX1,,PAX4,,,,,FOXJ3,KLF8,PITX3,E2F1
,,,,,PRRX2,,PAX6,,,,,PDX1,KLF9,HDX,E2F2
,,,,,VSX1,,NOTO,,,,,HOXC9,KLF10,,E2F3
,,,,,VSX2,,DRGX,,,,,HOXA9,KLF11,,E2F4
,,,,,LBX1,,GLI1,,,,,HOXB9,KLF12,,E2F5
,,,,,LBX2,,GLI2,,,,,HOXD9,KLF13,,E2F6
,,,,,MSX1,,GLI3,,,,,HOXA10,KLF14,,E2F7
,,,,,MSX2,,GLIS1,,,,,HOXC10,KLF15,,E2F8
,,,,,MSX3,,GLIS2,,,,,HOXD10,KLF16,,NEUROD1
,,,,,NF-1,,GLIS3,,,,,HOXA11,KLF17,,NEUROD2
,,,,,NFIA,,ZIC1,,,,,HOXC11,AHR,,NEUROD4
,,,,,NFIX,,ZIC2,,,,,HOXD11,AHRR,,NEUROD6
,,,,,NFIC,,ZIC3,,,,,HOXC12,SIM1,,NEUROG1
,,,,,HIC1,,ZIC4,,,,,HOXD12,SIM2,,NEUROG2
,,,,,HIC2,,ZIC5,,,,,HOXA13,HIF1A,,NEUROG3
,,,,,NANOG,,NR4A1,,,,,HOXB13,HIF3A,,NGN1
,,,,,MESP1,,NR4A2,,,,,HOXC13,EPAS1,,NGN2
,,,,,MESP2,,NR4A3,,,,,HOXD13,NPAS1,,NGN3
,,,,,TCF23,,NFIA,,,,,TBP,NPAS3,,ATOH1
,,,,,TCF21,,NFIX,,,,,TBPL1,ZNF416,,ATOH7
,,,,,MSC,,NFIC,,,,,TBPL2,ASCL1,,ATOH8
,,,,,MSGN1,,ZFP57,,,,,FOXL1,ASCL2,,BHLHE22
,,,,,BARHL1,,CREB1,,,,,FOXL2,ASCL3,,BHLHE23
,,,,,BARHL2,,ATF1,,,,,HNF4A,ASCL4,,TCFE2A
,,,,,FOXJ1,,CREM,,,,,HNF4G,ASCL5,,ZAC1
,,,,,FOXJ2,,HINFP,,,,,,MYF5,,
