X,Inter_value,PN_value,TN_value,MF_value,Index_value,BMI_value,Age_value,Inter_p,PN_p,TN_p,MF_p,Index_p,BMI_p,Age_p,TP_value,TP_p
ALX3,1.339146134,0.014070925,-0.400772196,1.404136721,-2.77684843,0.486824248,1.25452413,0.191688563,0.988876857,0.691741731,0.171677131,0.0098543,0.630311618,0.220403377,-0.411606127,0.683877376
ARGFX,1.718777016,0.103364623,-0.313235231,1.584936894,-2.70183617,0.026291357,1.209402712,0.097102533,0.918437533,0.756508914,0.124624824,0.011770449,0.97921831,0.236991856,-0.429714035,0.670813722
ARNT::HIF1A,0.156596391,-0.764515592,0.275044804,0.090343391,-0.450151617,-0.884499435,-0.99208935,0.876728021,0.451190528,0.785375651,0.928681227,0.656194806,0.384235725,0.329962249,1.165188814,0.254133851
ARNT2,-0.920730267,0.836909852,2.000186366,0.677856603,1.619427065,-0.384065271,-0.187134609,0.365345221,0.409989899,0.055631134,0.503630686,0.116978698,0.703938166,0.852954224,0.99348032,0.329296607
ASCL1,1.240100516,-0.301174563,0.768202107,-0.005576983,-2.335834165,-0.400283628,1.290176058,0.225607778,0.765588655,0.449034282,0.995591237,0.027174967,0.692097219,0.207930249,1.109613613,0.27695101
ASCL1(var.2),1.065766707,-0.103467274,0.258810324,-0.257612816,-1.617675069,-0.521995282,1.439813579,0.29596723,0.918356833,0.797744516,0.798659056,0.117357502,0.605930043,0.161414996,0.376172385,0.7097285
ATF2,-0.178452883,0.784460237,1.79006206,-0.010868832,1.646454891,-1.487208141,0.306915796,0.859699578,0.439598854,0.084665836,0.99140801,0.11126237,0.148545978,0.761262096,0.847635634,0.40409256
ATF3,-0.809397484,0.925773733,2.02724846,0.25194657,1.629406331,-0.457582252,0.005251397,0.425362335,0.362764946,0.052614269,0.802990318,0.114840343,0.650913602,0.99584862,0.916248218,0.367648405
ATF4,0.511834622,0.755337084,0.467015431,-0.93033431,1.599858728,-1.483580414,-0.189924273,0.612927902,0.456585858,0.644235725,0.360442121,0.12126766,0.149500873,0.85078915,-0.4228017,0.675788398
ATF6,-0.142736098,1.509932069,3.300960855,0.425661913,1.869857201,-1.935490736,0.079081465,0.887558471,0.142675998,0.002714096,0.673728126,0.07238402,0.063467124,0.937551035,1.489002043,0.148075606
ATF7,-0.931832119,0.859331946,2.066133166,0.307182206,1.767898242,-0.423017369,-0.011240722,0.359681402,0.397723052,0.048532425,0.761061522,0.088378404,0.675632957,0.991114038,1.032282614,0.311098245
