"","X","n_genes","n_counts","percent_mito","log10_n_counts","log_n_counts","norm_log_counts","log10_usable_counts","log_usable_counts","leiden","subtype"
"187","X187_R252_ND_Female_5",6673,886488,0,5.947673,13.695023,7.515669,5.2116866,12.000352,0,"beta1"
"188","X188_R252_ND_Female_10",5333,570725,0,5.756427,13.2546625,7.3252635,4.9377484,11.369586,1,"beta2"
"189","X189_R252_ND_Female_5",6430,379758,0,5.579507,12.847289,7.7063737,4.9263425,11.343323,1,"beta2"
"190","X190_R252_ND_Female_10",6278,502731,0,5.701336,13.1278105,7.2501583,4.8500395,11.167628,0,"beta1"
"191","X191_R252_ND_Female_10",5887,580026,0,5.7634473,13.270828,7.4445467,4.996573,11.505035,0,"beta1"
"192","X192_R252_ND_Female_10",2825,887217,0,5.94803,13.695845,7.3618627,5.145246,11.847367,1,"beta2"
"193","X193_R252_ND_Female_10",6733,696354,0,5.84283,13.453613,7.4148345,5.0630517,11.658108,0,"beta1"
"194","X194_R252_ND_Female_10",6724,694133,0,5.8414426,13.450418,7.44936,5.0766587,11.689439,0,"beta1"
"195","X195_R252_ND_Female_10",7458,791071,0,5.8982153,13.581143,7.255282,5.0491443,11.626085,0,"beta1"
"196","X196_R252_ND_Female_10",6940,850704,0,5.9297786,13.65382,7.608795,5.2342362,12.052275,0,"beta1"
"197","X197_R252_ND_Female_10",6826,452562,0,5.6556783,13.022679,5.12986,3.8835478,8.9422,0,"beta1"
"198","X198_R252_ND_Female_1",3587,636527,0,5.803817,13.363782,7.3623695,5.001253,11.515812,1,"beta2"
"199","X199_R252_ND_Female_10",5183,1147344,0,6.059694,13.95296,6.9992723,5.0994387,11.741893,1,"beta2"
"200","X200_R252_ND_Female_10",6591,838150,0,5.9233217,13.638952,7.71558,5.2741556,12.144192,0,"beta1"
"201","X201_R253_ND_Male_1",5718,534335,0,5.7278137,13.188778,7.453646,4.964891,11.432084,1,"beta2"
"202","X202_R253_ND_Male_10",6259,624612,0,5.7956104,13.344886,7.127544,4.891063,11.26209,1,"beta2"
"203","X203_R253_ND_Male_10",6531,418394,0,5.6215854,12.944179,7.8064394,5.011879,11.540278,0,"beta1"
"204","X204_R253_ND_Male_5",6021,463451,0,5.6660037,13.046455,7.7058153,5.0125966,11.541931,0,"beta1"
"205","X205_R253_ND_Male_10",5961,348740,0,5.542502,12.762082,7.673555,4.8750844,11.225297,1,"beta2"
"206","X206_R253_ND_Male_5",5191,414717,0,5.617752,12.935351,7.3834887,4.8243604,11.1085,1,"beta2"
"207","X207_R256_ND_Male_10",7021,555910,0,5.7450047,13.228361,7.8746204,5.164909,11.892642,0,"beta1"
"208","X208_R256_ND_Male_5",7450,637814,0,5.804694,13.365802,7.704035,5.150514,11.859497,1,"beta2"
"209","X209_R256_ND_Male_10",5342,444766,0,5.6481314,13.005303,8.016325,5.129577,11.811288,0,"beta1"
"210","X210_R256_ND_Male_5",6851,668129,0,5.82486,13.412236,7.6699686,5.155885,11.871865,1,"beta2"
"211","X211_R256_ND_Male_10",6196,540871,0,5.7330937,13.200935,7.678718,5.0679183,11.669314,1,"beta2"
"212","X212_R256_ND_Male_10",7485,1054105,0,6.022884,13.868202,7.5371747,5.2962375,12.195037,0,"beta1"
"213","X213_R256_ND_Male_10",8929,525976,0,5.720966,13.173011,7.643363,5.0404363,11.606033,0,"beta1"
"214","X214_R256_ND_Male_10",6962,846918,0,5.927841,13.649359,7.5154595,5.191764,11.954478,0,"beta1"
"215","X215_R256_ND_Male_10",5673,1185851,0,6.07403,13.985971,7.6225324,5.384454,12.398163,1,"beta2"
"216","X216_R256_ND_Male_1",7405,1517133,0,6.1810236,14.232333,7.326829,5.363025,12.348822,1,"beta2"
"217","X217_R260_ND_Female_10",5447,406258,0,5.608802,12.914743,7.1222515,4.7019563,10.826654,1,"beta2"
"218","X218_R260_ND_Female_10",6615,288986,0,5.460877,12.574134,7.649758,4.7831244,11.013551,0,"beta1"
"219","X219_R260_ND_Female_10",3818,337947,0,5.5288486,12.730644,7.463445,4.7701817,10.983749,1,"beta2"
"220","X220_R260_ND_Female_10",5253,214825,0,5.3320847,12.277579,7.283783,4.495392,10.351022,1,"beta2"
"221","X221_R260_ND_Female_10",6015,590850,0,5.771477,13.289317,7.431295,4.9988475,11.510272,0,"beta1"
"222","X222_R260_ND_Female_5",4841,323891,0,5.510399,12.688163,6.71658,4.4273725,10.194402,1,"beta2"
"223","X223_R260_ND_Female_10",6258,613975,0,5.788151,13.327709,7.5392756,5.0624166,11.656645,1,"beta2"
"224","X224_R260_ND_Female_5",6218,514796,0,5.711635,13.1515255,7.2869735,4.8763275,11.228159,1,"beta2"
"225","X225_R260_ND_Female_10",4712,237205,0,5.375124,12.37668,6.9320154,4.3856597,10.098354,0,"beta1"
"226","X226_R260_ND_Female_10",5575,299045,0,5.4757366,12.60835,7.780506,4.8547673,11.178515,1,"beta2"
"227","X227_R260_ND_Female_10",5430,481246,0,5.6823673,13.084133,7.146768,4.786169,11.020562,1,"beta2"
"228","X228_R260_ND_Female_10",7436,866876,0,5.937957,13.672651,7.728105,5.2942305,12.190415,0,"beta1"
"229","X229_R262_T2D_Female_10",4106,487444,0,5.687925,13.0969305,7.788879,5.070592,11.67547,1,"beta2"
